Italiano:Buongiorno, Romaji:Ohayou gozaimasu, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Buon pomeriggio, Romaji:Konnichiwa, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Buonasera, Romaji:Konbanwa, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Buonanotte, Romaji:Oyasuminasai, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Arrivederci/Addio, Romaji:Sayounara, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Arrivederci (informale), Romaji:Dewa mata, libro:Speciale, lezione:S1, tag:Saluto
Italiano:A domani, Romaji:Mata ashita, libro:Speciale, lezione:S1, tag:Saluto
Italiano:Piacere lieto di conoscerla, Romaji:Hajimemashite douzo yoroshiku onegai itashimasu, libro:Speciale, lezione:S1, tag:Presentarsi
Italiano:Piacere mio, Romaji:Kochirakoso douzo yoroshiku, libro:Speciale, lezione:S1, tag:Presentarsi
Italiano:Auguri, Romaji:Omedetou, libro:Speciale, lezione:S1, tag:Augurio
Italiano:Buon anno, Romaji:Akemashite omedetou, libro:Speciale, lezione:S1, tag:Augurio
Italiano:Come stai?, Romaji:Ogenki desu ka, libro:Speciale, lezione:S1, tag:Frase
Italiano:Sto bene e lei?, Romaji:Genki desu anata wa, libro:Speciale, lezione:S1, tag:Frase
Italiano:Grazie, Romaji:Arigatou gozaimasu, libro:Speciale, lezione:S1, tag:Frase
Italiano:Scusi mi dispiace, Romaji:Sumimasen, libro:Speciale, lezione:S1, tag:Frase
Italiano:Ho capito, Romaji:Wakarimashita, libro:Speciale, lezione:S1, tag:Frase
Italiano:Non capisco, Romaji:Wakarimasen, libro:Speciale, lezione:S1, tag:Frase
Italiano:Occhi, Romaji:Me, Hiragana:め, libro:A, lezione:A1, tag:Corpo
Italiano:Mani, Romaji:Te, Hiragana:て, libro:A, lezione:A1, tag:Corpo
Italiano:Denti, Romaji:Ha, Hiragana:は, libro:A, lezione:A1, tag:Corpo
Italiano:Albero, Romaji:Ki, Hiragana:き, libro:A, lezione:A1, tag:Piante
Italiano:Gambe, Romaji:Ashi, Hiragana:あし, libro:A, lezione:A1, tag:Corpo
Italiano:Viso, Romaji:Kao, Hiragana:かお, libro:A, lezione:A1, tag:Corpo
Italiano:Casa, Romaji:Ie, Hiragana:いえ, libro:A, lezione:A1, tag:Oggetti
Italiano:Sedia, Romaji:Isu, Hiragana:いす, libro:A, lezione:A1, tag:Oggetti
Italiano:Cane, Romaji:Inu, Hiragana:いぬ, libro:A, lezione:A1, tag:Creature
Italiano:Gatto, Romaji:Neko, Hiragana:ねこ, libro:A, lezione:A1, tag:Creature
Italiano:Bocca, Romaji:Kuchi, Hiragana:くち, libro:A, lezione:A1, tag:Corpo
Italiano:Naso, Romaji:Hana, Hiragana:はな, libro:A, lezione:A1, tag:Corpo
Italiano:Orecchie, Romaji:Mimi, Hiragana:みみ, libro:A, lezione:A1, tag:Corpo
Italiano:Pancia, Romaji:Hara, Hiragana:はら, libro:A, lezione:A1, tag:Corpo
Italiano:Ombrello, Romaji:Kasa, Hiragana:かさ, libro:A, lezione:A1, tag:Oggetti
Italiano:Scarpe, Romaji:Kutsu, Hiragana:くつ, libro:A, lezione:A1, tag:Abbigliamento
Italiano:Girandola, Romaji:Koma, Hiragana:こま, libro:A, lezione:A1, tag:Oggetti
Italiano:Bacchette, Romaji:Hashi, Hiragana:はし, libro:A, lezione:A1, tag:Oggetti
Italiano:Cavallo, Romaji:Uma, Hiragana:うま, libro:A, lezione:A1, tag:Creature
Italiano:Piccione, Romaji:Hato, Hiragana:はと, libro:A, lezione:A1, tag:Creature
